X.SampleID	SampleID_fromonline	Country	City	location	CollectionDate	Latitude	Longitude	Season	LocalityID	SeqType	Continent	Dataset	NoOfFlies	SRA_accession	SRA_experiment	SeqPlatform	SampleType	sex	Year	YearDay	Prop_D_simulanscontamination	SNAPEoutlierstatus	ln2lt	ln2rlns	ln3lp	In_3R_C	In_3R_K	In_3R_Mo	In_3R_Payne	WeatherStationID	DistToWeatherStation_km_	bio1_Annual_Mean_Temperature_	bio2_Mean_Diurnal_Range__Mean_of_monthly_max_temp.min_temp__	bio3_Isothermality	bio4_Temperature_Seasonality__	bio5_Max_Temperature_of_Warmest_Month_	bio6_Min_Temperature_of_Coldest_Month_	bio7_Temperature_Annual_Range__bio5.bio6__	bio8_Mean_Temperature_of_Wettest_Quarter_	bio9_Mean_Temperature_of_Driest_Quarter_	bio10_Mean_Temperature_of_Warmest_Quarter_	bio11_Mean_Temperature_of_Coldest_Quarter_	bio12_Annual_Precipitation_	bio13_Precipitation_of_Wettest_Month_	bio14_Precipitation_of_Driest_Month_	bio15_Precipitation_Seasonality__Coefficient_of_Variation__	bio16_Precipitation_of_Wettest_Quarter_	bio17_Precipitation_of_Driest_Quarter_	bio18_Precipitation_of_Warmest_Quarter_	bio19_Precipitation_of_Coldest_Quarter_	tmin1_Jan_	tmin2_Feb_	tmin3_Mar_	tmin4_Apr_	tmin5_May_	tmin6_Jun_	tmin7_Jul_	tmin8_Aug_	tmin9_Sep_	tmin10_Oct_	tmin11_Nov_	tmin12_Dec_	tmax1_Jan_	tmax2_Feb_	tmax3_Mar_	tmax4_Apr_	tmax5_May_	tmax6_Jun_	tmax7_Jul_	tmax8_Aug_	tmax9_Sep_	tmax10_Oct_	tmax11_Nov_	tmax12_Dec_	prec1_Jan_	prec2_Feb_	prec3_Mar_	prec4_Apr_	prec5_May_	prec6_Jun_	prec7_Jul_	prec8_Aug_	prec9_Sep_	prec10_Oct_	prec11_Nov_	prec12_Dec_	MaxTemp	MinTemp	AvgTemp	MaxcDHI	AvgcDHI	MaxcDNI	AvgcDNI	MaxcGHI	AvgcGHI	MaxDP	MinDP	AvgDP	MaxDHI	AvgDHI	MaxFF	AvgFF	MaxRH	MinRH	AvgRH	MaxSZA	MinSZA	AvgSZA	MaxSA	MinSA	AvgSA	MaxPress	MinPress	AvgPres	MaxPW	MinPW	AvgPW	MaxWD	MinWD	AvgWD	MaxWS	MinWS	AvgWS	MaxUVO	AvgUVO	MaxUVI	AvgUVI
SRR3939088	VA_ch_15_spring	USA	Charlottesville	Charlottesville, VA	42186	38	-78.47	spring	VA_ch	pooled	NorthAmerica	DrosRTEC	65	SRR3939088	SRX1968317	Illumina HiSeq 4000	wild	male	2015	182	0.003662522	Keep	0.22	0.01	0	0.01	0.03	0.02	0.02	USW00003759	0.475773345	134	128	36	8117	311	-41	352	229	27	237	27	1118	115	76	13	319	234	315	234	-41	-28	12	61	114	160	184	176	137	71	24	-19	72	91	143	205	251	291	311	302	267	209	151	90	76	78	93	81	108	92	115	108	96	104	87	80	29.8	17.8	23.6666666666667	258	101.458333333333	705	281.333333333333	913	313.333333333333	21.6	17.6	18.9875	465	119.708333333333	7	0.291666666666667	100	49.63	77.8333333333333	118.8	15.15	72.4920833333333	0.16	0.16	0.16	993	991	991.791666666667	3.9	2.4	3.26666666666667	314	248	266	0.6	0.1	0.283333333333333	56.1065	18.3766708333333	44.1836	14.4266541666667
SRR3590554	WI_cp_12_frost	USA	Cross Plains	NA	41202	43.11	-89.65	frost	WI_cp	pooled	NorthAmerica	DrosRTEC	100	SRR3590554	SRX1801499	Illumina HiSeq 2000	wild	male	2012	294	0.00503911	Keep	0.13	0.03	0	0.02	0.01	0.04	0.02	USC00471416	14.78484987	76	116	27	10626	282	-141	423	206	-70	206	-70	815	102	26	40	298	93	298	93	-141	-116	-50	17	77	130	156	142	96	35	-29	-104	-38	-8	55	140	208	259	282	268	222	158	69	-11	26	26	55	76	83	99	97	102	97	60	53	41	13.2	2.1	6.81666666666667	75	24.8333333333333	936	326.541666666667	620	165.083333333333	5.3	2.1	3.1625	94	27.3333333333333	0	0	100	50.82	79.815	147.63	53.82	98.6891666666667	0.13	0.13	0.13	978	970	974.083333333333	1.4	1.1	1.20833333333333	320	212	282.125	3.3	1	2.24583333333333	35.2725	8.80255416666667	27.6262	6.86397916666667
SRR3590555	WI_cp_12_spring	USA	Cross Plains	NA	41070	43.11	-89.65	spring	WI_cp	pooled	NorthAmerica	DrosRTEC	83	SRR3590555	SRX1801500	Illumina HiSeq 2000	wild	male	2012	162	0.004971271	Keep	0.06	0.03	0	0.01	0.03	0.12	0.03	USC00471416	14.78484987	76	116	27	10626	282	-141	423	206	-70	206	-70	815	102	26	40	298	93	298	93	-141	-116	-50	17	77	130	156	142	96	35	-29	-104	-38	-8	55	140	208	259	282	268	222	158	69	-11	26	26	55	76	83	99	97	102	97	60	53	41	30.3	16.9	23.9125	123	57.7083333333333	922	377.583333333333	969	334.541666666667	17.7	13.7	15.8375	347	77.75	7	0.791666666666667	86.95	38.67	63.2408333333333	113.48	20.84	71.33625	0.19	0.18	0.1875	978	974	976.083333333333	2.9	2	2.5	199	174	185.625	6.5	2.4	4.3875	59.3941	19.6377958333333	46.7653	15.4104791666667
SRR3590562	WI_cp_12_fall	USA	Cross Plains	NA	41163	43.11	-89.65	fall	WI_cp	pooled	NorthAmerica	DrosRTEC	164	SRR3590562	SRX1801507	Illumina HiSeq 2000	wild	male	2012	255	0.00498704	Keep	0.1	0.02	0	0.01	0.01	0.06	0.08	USC00471416	14.78484987	76	116	27	10626	282	-141	423	206	-70	206	-70	815	102	26	40	298	93	298	93	-141	-116	-50	17	77	130	156	142	96	35	-29	-104	-38	-8	55	140	208	259	282	268	222	158	69	-11	26	26	55	76	83	99	97	102	97	60	53	41	30.4	12.5	21.1583333333333	92	35.9166666666667	941	396.5	811	257.25	13.6	10.3	11.3916666666667	92	35.9166666666667	0	0	89.52	28.86	58.3925	132.56	39.27	86.5575	0.16	0.16	0.16	982	979	980.916666666667	1.8	1.3	1.47916666666667	207	185	195.625	6.4	3.2	4.775	48.3384	14.2398375	37.9924	11.1566958333333
SRR3939051	WI_cp_13_spring	USA	Cross Plains	NA	41457	43.11	-89.65	spring	WI_cp	pooled	NorthAmerica	DrosRTEC	130	SRR3939051	SRX1968280	Illumina HiSeq 4000	wild	male	2013	183	0.003760485	Keep	0.12	0.04	0.01	0.01	0.02	0.1	0.04	USC00471416	14.78484987	76	116	27	10626	282	-141	423	206	-70	206	-70	815	102	26	40	298	93	298	93	-141	-116	-50	17	77	130	156	142	96	35	-29	-104	-38	-8	55	140	208	259	282	268	222	158	69	-11	26	26	55	76	83	99	97	102	97	60	53	41	22.9	12	17.3625	116	54.4583333333333	649	276.708333333333	810	302.041666666667	14.8	11.8	13.3666666666667	391	126.958333333333	7	0.291666666666667	100	55.65	79.8683333333333	113.6	20.88	71.4104166666667	0.18	0.18	0.18	985	983	983.875	2.4	1.8	1.95833333333333	91	52	70.125	3.3	0.9	2.09166666666667	49.6408	17.4556125	39.0854	13.7017375
SRR3939052	WI_cp_13_fall	USA	Cross Plains	NA	41539	43.11	-89.65	fall	WI_cp	pooled	NorthAmerica	DrosRTEC	61	SRR3939052	SRX1968281	Illumina HiSeq 4000	wild	male	2013	265	0.020172556	Keep	0.11	0.02	0	0.04	0	0.1	0.07	USC00471416	14.78484987	76	116	27	10626	282	-141	423	206	-70	206	-70	815	102	26	40	298	93	298	93	-141	-116	-50	17	77	130	156	142	96	35	-29	-104	-38	-8	55	140	208	259	282	268	222	158	69	-11	26	26	55	76	83	99	97	102	97	60	53	41	17.8	4.8	11.0458333333333	75	28.25	969	406.208333333333	776	237	9.3	4.8	6.37916666666667	75	28.25	0	0	100	48.12	76.2	136.8	43.29	89.9529166666667	0.16	0.16	0.16	983	980	981.166666666667	1.3	1.1	1.19583333333333	120	36	79.25	2.6	1	1.65833333333333	45.7925	13.0852333333333	35.9665	10.2399708333333
SRR3939078	WI_cp_14_spring	USA	Cross Plains	NA	41815	43.11	-89.65	spring	WI_cp	pooled	NorthAmerica	DrosRTEC	130	SRR3939078	SRX1968307	Illumina HiSeq 4000	wild	male	2014	176	0.003666239	Keep	0.11	0.05	0.02	0.02	0.01	0.02	0.03	USC00471416	14.78484987	76	116	27	10626	282	-141	423	206	-70	206	-70	815	102	26	40	298	93	298	93	-141	-116	-50	17	77	130	156	142	96	35	-29	-104	-38	-8	55	140	208	259	282	268	222	158	69	-11	26	26	55	76	83	99	97	102	97	60	53	41	24.9	16.3	20.7333333333333	115	53.75	827	157.5	711	241.541666666667	18.9	16.3	17.6666666666667	468	140.041666666667	7	0.875	100	65.77	83.8929166666667	113.2	20.59	71.1079166666667	0.2	0.18	0.185	982	978	980.25	3.5	2.9	3.15	340	3	137.833333333333	2.3	0.8	1.59166666666667	43.5928	14.2039583333333	34.3244	11.1491625
SRR8061819	WI_cp_14_fall	USA	Cross Plains	NA	41900	43.11	-89.65	fall	WI_cp	pooled	NorthAmerica	DrosRTEC	61	SRR8061819	SRX4891299	Illumina HiSeq 2000	wild	male	2014	261	0.002409451	Keep	0.19	0.03	0	0.02	0.01	0.08	0.05	USC00471416	14.78484987	76	116	27	10626	282	-141	423	206	-70	206	-70	815	102	26	40	298	93	298	93	-141	-116	-50	17	77	130	156	142	96	35	-29	-104	-38	-8	55	140	208	259	282	268	222	158	69	-11	26	26	55	76	83	99	97	102	97	60	53	41	20.2	8.2	13.75	112	41.75	897	201.875	766	163.791666666667	13.2	8.2	10.6416666666667	356	61.1666666666667	7	0.875	100	59.75	83.2966666666667	135.12	41.69	88.6079166666667	0.16	0.16	0.16	986	982	984.375	1.9	1.7	1.88333333333333	228	51	99.8333333333333	3.2	0.6	1.95833333333333	45.3308	8.9724625	35.6109	7.02638333333333
SRR8439114	GS_Des_15_1	Guadeloupe	Deshaies	NA	42354	16.32	-61.78	fall	GS_Des	pooled	Europe	DrosEU	40	SRR8439114	SRX5246595	HiSeq X Ten	wild	male	2015	350	0.003929839	Keep	0	0.01	0	0.02	0.01	0	0.49	MBM00078922	196.9489575	241	76	71	1123	292	185	107	253	230	253	225	2381	297	98	32	822	344	822	350	186	185	185	196	209	219	216	218	216	212	207	195	264	264	270	281	283	286	288	291	292	286	281	269	143	98	109	137	188	193	250	297	275	244	246	201	28.1	26.6	27.2166666666667	80	28.75	949	318.333333333333	805	217.125	23.4	22.3	22.8166666666667	278	36.875	7	0.291666666666667	82.14	70.67	77.0008333333333	170.49	40.19	99.3670833333333	0.11	0.1	0.101666666666667	1031	1028	1029.29166666667	3.8	2.8	3.38333333333333	106	80	91.9583333333333	5.1	3.8	4.50416666666667	47.8786	12.3658416666667	37.6255	9.6806375
SRR3939042	CA_es_12_spring	USA	Esparto	NA	41073	38.68	-122.046	spring	CA_es	pooled	NorthAmerica	DrosRTEC	27	SRR3939042	SRX1968271	Illumina HiSeq 2000	wild	male	2012	165	0.004548	Keep	0.06	0.03	0	0.02	0	0.02	0.03	USR0000CBRO	10.75110593	160	164	48	6203	357	17	340	82	239	239	82	549	119	1	90	302	7	7	302	17	36	48	64	95	128	144	137	118	86	47	19	130	163	185	223	275	323	357	349	317	264	183	132	119	93	76	31	9	4	1	2	9	32	83	90	36.2	15.5	25.1916666666667	107	49.3333333333333	948	463.25	1014	365.958333333333	12.7	7.6	10.7833333333333	107	49.3333333333333	0	0	80.96	17.91	46.7120833333333	117.87	16.09	72.1975	0.25	0.25	0.25	1001	995	998.125	2.3	1.6	1.87083333333333	351	2	227.583333333333	3	0.8	1.96666666666667	62.4046	21.3992958333333	49.1475	16.8002125
SRR3939043	CA_es_12_fall	USA	Esparto	NA	41143	38.68	-122.046	fall	CA_es	pooled	NorthAmerica	DrosRTEC	92	SRR3939043	SRX1968272	Illumina HiSeq 2000	wild	male	2012	235	0.007448346	Keep	0.04	0.03	0	0.01	0.01	0.01	0.03	USR0000CBRO	10.75110593	160	164	48	6203	357	17	340	82	239	239	82	549	119	1	90	302	7	7	302	17	36	48	64	95	128	144	137	118	86	47	19	130	163	185	223	275	323	357	349	317	264	183	132	119	93	76	31	9	4	1	2	9	32	83	90	35.1	14	22.9833333333333	108	46.0833333333333	950	414.583333333333	943	310.541666666667	12	4.7	9.45	108	46.0833333333333	0	0	82.21	15.55	49.45125	129.53	27.59	81.09375	0.26	0.26	0.26	1003	1000	1001.29166666667	1.6	1.2	1.46666666666667	227	192	214.416666666667	4.3	1.3	2.65833333333333	57.3758	18.0230333333333	45.1558	14.1358208333333
SRR3939048	CA_es_13_fall	USA	Esparto	NA	41518	38.68	-122.046	fall	CA_es	pooled	NorthAmerica	DrosRTEC	57	SRR3939048	SRX1968277	Illumina HiSeq 2000	wild	male	2013	244	0.013102335	Keep	0.07	0.02	0.02	0.01	0	0.01	0.08	USR0000CBRO	10.75110593	160	164	48	6203	357	17	340	82	239	239	82	549	119	1	90	302	7	7	302	17	36	48	64	95	128	144	137	118	86	47	19	130	163	185	223	275	323	357	349	317	264	183	132	119	93	76	31	9	4	1	2	9	32	83	90	32.8	17.6	24.6916666666667	110	42.0416666666667	617	107.583333333333	807	196.291666666667	14.4	9.2	11.0708333333333	364	115.25	7	1.45833333333333	66.44	24.47	45.4929166666667	132.87	31.09	83.76375	0.26	0.25	0.253333333333333	1003	1000	1001.875	4.1	2.7	3.50833333333333	239	210	225.458333333333	4.9	2.4	3.27916666666667	48.8533	11.3530708333333	38.4362	8.9118
SRR3939103	CA_es_12_frost	USA	Esparto	NA	41233	38.68	-122.046	frost	CA_es	pooled	NorthAmerica	DrosRTEC	92	SRR3939103	SRX1968332	Illumina HiSeq 2000	wild	male	2012	325	0.020872508	Keep	0.05	0.01	0	0.01	0	0.02	0.03	USR0000CBRO	10.75110593	160	164	48	6203	357	17	340	82	239	239	82	549	119	1	90	302	7	7	302	17	36	48	64	95	128	144	137	118	86	47	19	130	163	185	223	275	323	357	349	317	264	183	132	119	93	76	31	9	4	1	2	9	32	83	90	18.8	11.7	14.8458333333333	104	28.3333333333333	216	18.0833333333333	329	40.125	13.7	11.4	12.45	232	32.0416666666667	7	0.583333333333333	98.01	66.12	86.2991666666667	160.61	58.84	105.259166666667	0.21	0.21	0.21	1010	1005	1007.25	3	2.4	2.76666666666667	198	172	181.541666666667	5.7	1.4	3.9875	18.2586	2.09725833333333	14.2695	1.63310833333333
SRR3939104	CA_es_13_spring	USA	Esparto	NA	41401	38.68	-122.046	spring	CA_es	pooled	NorthAmerica	DrosRTEC	50	SRR3939104	SRX1968333	Illumina HiSeq 2000	wild	male	2013	127	0.044824208	Keep	0.06	0.02	0	0.03	0	0.01	0.05	USR0000CBRO	10.75110593	160	164	48	6203	357	17	340	82	239	239	82	549	119	1	90	302	7	7	302	17	36	48	64	95	128	144	137	118	86	47	19	130	163	185	223	275	323	357	349	317	264	183	132	119	93	76	31	9	4	1	2	9	32	83	90	23.6	10.9	17.1625	179	71.7083333333333	828	160.166666666667	940	205.208333333333	11	9.2	9.96666666666667	462	97.0833333333333	7	0.291666666666667	95.76	39.87	66.06125	124.1	22.35	76.84375	0.22	0.22	0.22	1006	1004	1005.125	2.6	2.3	2.4125	260	233	248.541666666667	3.5	1.1	2.35416666666667	57.5083	11.8479458333333	45.2753	9.29734583333333
