#SampleID	SampleID_fromonline	Country	City	State	location	CollectionDate	Latitude	Longitude	Season	LocalityID	SeqType	Continent	Dataset	NoOfFlies	SRA_accession	SRA_experiment	SeqPlatform	SampleType	sex	Year	YearDay	Prop_D_simulanscontamination	SNAPEoutlierstatus	ln2lt	ln2rlns	ln3lp	In_3R_C	In_3R_K	In_3R_Mo	In_3R_Payne	WeatherStationID	DistToWeatherStation_km_	bio1_Annual_Mean_Temperature_	bio2_Mean_Diurnal_Range__Mean_of_monthly_max_temp-min_temp__	bio3_Isothermality	bio4_Temperature_Seasonality__	bio5_Max_Temperature_of_Warmest_Month_	bio6_Min_Temperature_of_Coldest_Month_	bio7_Temperature_Annual_Range__bio5-bio6__	bio8_Mean_Temperature_of_Wettest_Quarter_	bio9_Mean_Temperature_of_Driest_Quarter_	bio10_Mean_Temperature_of_Warmest_Quarter_	bio11_Mean_Temperature_of_Coldest_Quarter_	bio12_Annual_Precipitation_	bio13_Precipitation_of_Wettest_Month_	bio14_Precipitation_of_Driest_Month_	bio15_Precipitation_Seasonality__Coefficient_of_Variation__	bio16_Precipitation_of_Wettest_Quarter_	bio17_Precipitation_of_Driest_Quarter_	bio18_Precipitation_of_Warmest_Quarter_	bio19_Precipitation_of_Coldest_Quarter_	tmin1_Jan_	tmin2_Feb_	tmin3_Mar_	tmin4_Apr_	tmin5_May_	tmin6_Jun_	tmin7_Jul_	tmin8_Aug_	tmin9_Sep_	tmin10_Oct_	tmin11_Nov_	tmin12_Dec_	tmax1_Jan_	tmax2_Feb_	tmax3_Mar_	tmax4_Apr_	tmax5_May_	tmax6_Jun_	tmax7_Jul_	tmax8_Aug_	tmax9_Sep_	tmax10_Oct_	tmax11_Nov_	tmax12_Dec_	prec1_Jan_	prec2_Feb_	prec3_Mar_	prec4_Apr_	prec5_May_	prec6_Jun_	prec7_Jul_	prec8_Aug_	prec9_Sep_	prec10_Oct_	prec11_Nov_	prec12_Dec_
SRR3590549	ES_ba_12_spring	Spain	Barcelona	NA	NA	41103	41.38	2.17	spring	ES_ba	pooled	Europe	DrosRTEC	55	SRR3590549	SRX1801494	Illumina HiSeq 2000	wild	male	2012	195	0.005315771	Keep	0.45	0.07	0.04	0.07	0	0.1	0.09	SPE00155991	0.480981525	164	70	32	5064	279	65	214	175	230	231	103	609	92	25	33	223	118	149	123	65	73	90	107	137	174	202	202	183	143	102	76	130	140	160	185	217	253	279	274	251	208	165	137	39	36	45	48	52	42	25	51	73	92	58	48
SRR8494475	ES_Ben_16_32	Spain	Benalua	NA	NA	42651	37.353733	-3.167179	fall	ES_Ben	pooled	Europe	DrosEU	40	SRR8494475	SRX5298992	HiSeq X Ten	wild	male	2016	282	0.036131655	Keep	0.1	0.05	0.04	0.03	0.01	0	0.09	SPE00120089	58.10590608	146	116	37	6411	325	18	307	99	232	233	70	470	60	6	49	167	29	37	162	18	25	48	67	95	137	169	170	142	98	57	30	109	127	152	179	213	277	325	319	274	209	153	113	53	50	60	57	42	15	6	8	23	47	50	59
SRR3939058	MI_bh_14_fall	USA	Benton Harbor	Michigan	NA	41948	42.1111	-86.4483	fall	MI_bh	pooled	NorthAmerica	DrosRTEC	34	SRR3939058	SRX1968287	Illumina HiSeq 4000	wild	male	2014	309	0.003766486	Keep	0.14	0.01	0.03	0.01	0	0.03	0.03	USC00200710	2.318021111	96	103	28	9385	281	-84	365	204	-17	212	-30	945	102	44	19	275	170	261	181	-84	-73	-22	31	85	140	166	155	118	60	7	-50	-5	12	72	144	208	262	281	271	236	170	92	22	60	44	66	91	81	88	85	88	102	79	84	77
SRR3939059	MI_bh_14_spring	USA	Benton Harbor	Michigan	NA	41846	42.1111	-86.4483	spring	MI_bh	pooled	NorthAmerica	DrosRTEC	106	SRR3939059	SRX1968288	Illumina HiSeq 4000	wild	male	2014	207	0.003693469	Keep	0.16	0.04	0	0.01	0	0.03	0.01	USC00200710	2.318021111	96	103	28	9385	281	-84	365	204	-17	212	-30	945	102	44	19	275	170	261	181	-84	-73	-22	31	85	140	166	155	118	60	7	-50	-5	12	72	144	208	262	281	271	236	170	92	22	60	44	66	91	81	88	85	88	102	79	84	77
SRR1525698	ME_bo_09_fall.r1	USA	Bowdoin	Maine	"Bowdoin, ME"	40101	44	-69.96	fall	ME_bo	pooled	NorthAmerica	DrosRTEC	86	SRR1525698	SRX661844	Illumina HiSeq 2000	5gen_lab	male	2009	288	0.005290034	Keep	0.16	0.08	0	0.02	0.04	0.15	0	USC00172048	10.9401886	74	108	28	9371	262	-118	380	30	184	192	-51	1148	122	80	12	332	249	253	288	-118	-108	-51	7	63	117	149	140	94	36	-11	-80	-11	3	49	115	181	232	262	253	208	148	79	12	93	86	105	101	93	89	80	84	85	101	122	109
SRR1525699	ME_bo_09_fall.r2	USA	Bowdoin	Maine	"Bowdoin, ME"	40101	44	-69.96	fall	ME_bo	pooled	NorthAmerica	DrosRTEC	75	SRR1525699	SRX661845	Illumina HiSeq 2000	wild	male	2009	288	0.010551195	Exclude	0.19	0.15	0.03	0.03	0.08	0.17	0.05	USC00172048	10.9401886	74	108	28	9371	262	-118	380	30	184	192	-51	1148	122	80	12	332	249	253	288	-118	-108	-51	7	63	117	149	140	94	36	-11	-80	-11	3	49	115	181	232	262	253	208	148	79	12	93	86	105	101	93	89	80	84	85	101	122	109
SRR8439157	BY_Bre_15_13	Belarus	Brest	NA	NA	42258	52.142193	23.662434	fall	BY_Bre	pooled	Europe	DrosEU	40	SRR8439157	SRX5246551	HiSeq X Ten	wild	male	2015	254	0.003747655	Keep	0.15	0.04	0.04	0.01	0	0.01	0.03	BOM00033008	3.170050563	75	84	26	8237	240	-75	315	176	-24	176	-35	548	74	26	35	209	82	209	94	-75	-69	-25	35	82	115	129	123	87	45	2	-44	-16	-5	48	132	192	224	240	232	184	123	51	4	29	27	26	37	53	68	74	67	52	38	39	38
SRR5647761	DE_Bro_14_15	Germany	Broggingen	NA	NA	41927	48.218024	7.819513	fall	DE_Bro	pooled	Europe	DrosEU	40	SRR5647761	SRX2885347	NextSeq 500	wild	male	2014	288	0.003296914	Keep	0.1	0.05	0.01	0.02	0	0.02	0.04	GME00121750	8.945260407	103	86	32	6464	250	-13	263	185	33	185	20	757	95	43	26	254	138	254	140	-13	-5	19	49	88	121	140	136	107	66	24	-4	38	58	104	149	193	226	250	243	211	149	87	49	47	43	48	61	83	95	75	84	60	51	60	50
SRR5647762	DE_Bro_14_14	Germany	Broggingen	NA	NA	41816	48.218024	7.819513	spring	DE_Bro	pooled	Europe	DrosEU	40	SRR5647762	SRX2885346	NextSeq 500	wild	male	2014	177	0.00322315	Keep	0.2	0.04	0.01	0.03	0	0.03	0.08	GME00121750	8.945260407	103	86	32	6464	250	-13	263	185	33	185	20	757	95	43	26	254	138	254	140	-13	-5	19	49	88	121	140	136	107	66	24	-4	38	58	104	149	193	226	250	243	211	149	87	49	47	43	48	61	83	95	75	84	60	51	60	50
SRR8439144	DE_Bro_15_54	Germany	Broggingen	NA	NA	42302	48.218	7.82	fall	DE_Bro	pooled	Europe	DrosEU	40	SRR8439144	SRX5246564	HiSeq X Ten	wild	male	2015	298	0.003254879	Keep	0.19	0.06	0.03	0.02	0.02	0.01	0.08	GME00121750	8.937842653	103	86	32	6464	250	-13	263	185	33	185	20	757	95	43	26	254	138	254	140	-13	-5	19	49	88	121	140	136	107	66	24	-4	38	58	104	149	193	226	250	243	211	149	87	49	47	43	48	61	83	95	75	84	60	51	60	50
SRR8439148	DE_Bro_15_53	Germany	Broggingen	NA	NA	42185	48.218	7.82	spring	DE_Bro	pooled	Europe	DrosEU	40	SRR8439148	SRX5246560	HiSeq X Ten	wild	male	2015	181	0.003231905	Keep	0.29	0.08	0	0.03	0.01	0.01	0.07	GME00121750	8.937842653	103	86	32	6464	250	-13	263	185	33	185	20	757	95	43	26	254	138	254	140	-13	-5	19	49	88	121	140	136	107	66	24	-4	38	58	104	149	193	226	250	243	211	149	87	49	47	43	48	61	83	95	75	84	60	51	60	50
SRR8494434	DE_Bro_16_10	Germany	Broggingen	NA	NA	42575	48.218024	7.819513	spring	DE_Bro	pooled	Europe	DrosEU	40	SRR8494434	SRX5299033	HiSeq X Ten	wild	male	2016	206	0.003792539	Keep	0.06	0.02	0.01	0.02	0	0.01	0.09	GME00121750	8.945260407	103	86	32	6464	250	-13	263	185	33	185	20	757	95	43	26	254	138	254	140	-13	-5	19	49	88	121	140	136	107	66	24	-4	38	58	104	149	193	226	250	243	211	149	87	49	47	43	48	61	83	95	75	84	60	51	60	50
SRR8494452	DE_Bro_16_11	Germany	Broggingen	NA	NA	42666	48.218024	7.819513	fall	DE_Bro	pooled	Europe	DrosEU	40	SRR8494452	SRX5299015	HiSeq X Ten	wild	male	2016	297	0.00366153	Keep	0.11	0.03	0	0.02	0	0.01	0	GME00121750	8.945260407	103	86	32	6464	250	-13	263	185	33	185	20	757	95	43	26	254	138	254	140	-13	-5	19	49	88	121	140	136	107	66	24	-4	38	58	104	149	193	226	250	243	211	149	87	49	47	43	48	61	83	95	75	84	60	51	60	50
SRR8439154	PO_Brz_15_12	Poland	Brzezina	NA	NA	42275	54.27342	19.620169	fall	PO_Brz	pooled	Europe	DrosEU	40	SRR8439154	SRX5246554	HiSeq X Ten	wild	male	2015	271	0.003977018	Keep	0.23	0.07	0	0.03	0	0.01	0	PLM00012160	17.0109788	73	69	24	7642	221	-62	283	168	18	168	-29	685	81	35	28	230	108	230	135	-62	-55	-18	33	74	108	133	128	94	53	7	-35	-16	-6	44	115	169	202	221	216	172	114	49	5	41	37	36	35	53	77	72	81	75	62	59	57
SRR8494458	PO_Brz_16_17	Poland	Brzezina	NA	NA	42590	54.27342	19.620169	spring	PO_Brz	pooled	Europe	DrosEU	40	SRR8494458	SRX5299009	HiSeq X Ten	wild	male	2016	221	0.003770506	Keep	0.32	0.04	0	0.03	0	0.01	0.02	PLM00012160	17.0109788	73	69	24	7642	221	-62	283	168	18	168	-29	685	81	35	28	230	108	230	135	-62	-55	-18	33	74	108	133	128	94	53	7	-35	-16	-6	44	115	169	202	221	216	172	114	49	5	41	37	36	35	53	77	72	81	75	62	59	57
SRR5647754	CH_Cha_14_42	Switzerland	Chalet Gobet	NA	NA	41844	46.5670416	6.701867	spring	CH_Cha	pooled	Europe	DrosEU	40	SRR5647754	SRX2885354	NextSeq 500	wild	male	2014	205	0.006279888	Keep	0.47	0.1	0.06	0.03	0.04	0.03	0.14	SZE00116090	33.62290052	74	87	32	6320	219	-48	267	3	67	154	-9	1112	107	75	10	303	249	295	294	-48	-38	-13	19	56	89	108	103	82	41	0	-33	15	32	74	113	158	195	219	211	179	124	65	24	100	92	85	75	89	102	86	107	92	81	101	102
SRR5647758	CH_Cha_14_43	Switzerland	Chalet Gobet	NA	NA	41917	46.5670416	6.701867	fall	CH_Cha	pooled	Europe	DrosEU	40	SRR5647758	SRX2885350	NextSeq 500	wild	male	2014	278	0.030993719	Exclude	0.37	0.07	0.07	0.03	0.02	0.03	0.04	SZE00116090	33.62290052	74	87	32	6320	219	-48	267	3	67	154	-9	1112	107	75	10	303	249	295	294	-48	-38	-13	19	56	89	108	103	82	41	0	-33	15	32	74	113	158	195	219	211	179	124	65	24	100	92	85	75	89	102	86	107	92	81	101	102
SRR8439166	CH_Cha_15_39	Switzerland	Chalet Gobet	NA	NA	42217	46.5670416	6.701867	spring	CH_Cha	pooled	Europe	DrosEU	40	SRR8439166	SRX5246542	HiSeq X Ten	wild	male	2015	213	0.003719215	Keep	0.32	0.09	0.07	0.03	0	0	0.28	SZE00116090	33.62290052	74	87	32	6320	219	-48	267	3	67	154	-9	1112	107	75	10	303	249	295	294	-48	-38	-13	19	56	89	108	103	82	41	0	-33	15	32	74	113	158	195	219	211	179	124	65	24	100	92	85	75	89	102	86	107	92	81	101	102
SRR8494459	CH_Cha_16_38	Switzerland	Chalet Gobet	NA	NA	42597	46.5670416	6.701867	spring	CH_Cha	pooled	Europe	DrosEU	40	SRR8494459	SRX5299008	HiSeq X Ten	wild	male	2016	228	0.004069732	Keep	0.44	0.12	0.02	0.04	0.03	0.02	0.12	SZE00116090	33.62290052	74	87	32	6320	219	-48	267	3	67	154	-9	1112	107	75	10	303	249	295	294	-48	-38	-13	19	56	89	108	103	82	41	0	-33	15	32	74	113	158	195	219	211	179	124	65	24	100	92	85	75	89	102	86	107	92	81	101	102
SRR3590550	VA_ch_12_fall	USA	Charlottesville	Virginia	"Charlottesville, VA"	41218	38	-78.47	fall	VA_ch	pooled	NorthAmerica	DrosRTEC	50	SRR3590550	SRX1801495	Illumina HiSeq 2000	wild	male	2012	310	0.188913962	Keep	0.14	0.02	0	0.01	0	0.02	0.02	USW00003759	0.475773345	134	128	36	8117	311	-41	352	229	27	237	27	1118	115	76	13	319	234	315	234	-41	-28	12	61	114	160	184	176	137	71	24	-19	72	91	143	205	251	291	311	302	267	209	151	90	76	78	93	81	108	92	115	108	96	104	87	80
SRR3590551	VA_ch_12_spring	USA	Charlottesville	Virginia	"Charlottesville, VA"	41108	38	-78.47	spring	VA_ch	pooled	NorthAmerica	DrosRTEC	95	SRR3590551	SRX1801496	Illumina HiSeq 2000	wild	male	2012	200	0.006762786	Keep	0.12	0.01	0	0.01	0	0.01	0.03	USW00003759	0.475773345	134	128	36	8117	311	-41	352	229	27	237	27	1118	115	76	13	319	234	315	234	-41	-28	12	61	114	160	184	176	137	71	24	-19	72	91	143	205	251	291	311	302	267	209	151	90	76	78	93	81	108	92	115	108	96	104	87	80
SRR3939076	VA_ch_14_fall	USA	Charlottesville	Virginia	"Charlottesville, VA"	41926	38	-78.47	fall	VA_ch	pooled	NorthAmerica	DrosRTEC	76	SRR3939076	SRX1968305	Illumina HiSeq 4000	wild	male	2014	287	0.003579695	Keep	0.22	0.02	0	0.01	0	0.01	0.02	USW00003759	0.475773345	134	128	36	8117	311	-41	352	229	27	237	27	1118	115	76	13	319	234	315	234	-41	-28	12	61	114	160	184	176	137	71	24	-19	72	91	143	205	251	291	311	302	267	209	151	90	76	78	93	81	108	92	115	108	96	104	87	80
SRR3939077	VA_ch_14_spring	USA	Charlottesville	Virginia	"Charlottesville, VA"	41815	38	-78.47	spring	VA_ch	pooled	NorthAmerica	DrosRTEC	104	SRR3939077	SRX1968306	Illumina HiSeq 4000	wild	male	2014	176	0.00397015	Keep	0.21	0.01	0	0.01	0.01	0.01	0.01	USW00003759	0.475773345	134	128	36	8117	311	-41	352	229	27	237	27	1118	115	76	13	319	234	315	234	-41	-28	12	61	114	160	184	176	137	71	24	-19	72	91	143	205	251	291	311	302	267	209	151	90	76	78	93	81	108	92	115	108	96	104	87	80
SRR3939087	VA_ch_15_fall	USA	Charlottesville	Virginia	"Charlottesville, VA"	42296	38	-78.47	fall	VA_ch	pooled	NorthAmerica	DrosRTEC	89	SRR3939087	SRX1968316	Illumina HiSeq 4000	wild	male	2015	292	0.003526144	Keep	0.31	0.01	0	0.01	0.02	0.02	0.02	USW00003759	0.475773345	134	128	36	8117	311	-41	352	229	27	237	27	1118	115	76	13	319	234	315	234	-41	-28	12	61	114	160	184	176	137	71	24	-19	72	91	143	205	251	291	311	302	267	209	151	90	76	78	93	81	108	92	115	108	96	104	87	80
SRR3939088	VA_ch_15_spring	USA	Charlottesville	Virginia	"Charlottesville, VA"	42186	38	-78.47	spring	VA_ch	pooled	NorthAmerica	DrosRTEC	65	SRR3939088	SRX1968317	Illumina HiSeq 4000	wild	male	2015	182	0.003662522	Keep	0.22	0.01	0	0.01	0.03	0.02	0.02	USW00003759	0.475773345	134	128	36	8117	311	-41	352	229	27	237	27	1118	115	76	13	319	234	315	234	-41	-28	12	61	114	160	184	176	137	71	24	-19	72	91	143	205	251	291	311	302	267	209	151	90	76	78	93	81	108	92	115	108	96	104	87	80
SRR5647733	UA_Che_14_28	Ukraine	Chornobyl (Cooling pond)	NA	NA	41895	51.37330556	30.13830556	fall	UA_Che	pooled	Europe	DrosEU	40	SRR5647733	SRX2885375	NextSeq 500	wild	male	2014	256	0.003363829	Keep	0.27	0.08	0.04	0.01	0	0.01	0.02	UPM00033231	12.02106214	75	84	24	9054	247	-90	337	186	-35	186	-45	620	87	34	32	233	108	233	120	-90	-79	-34	38	94	127	139	130	87	39	-6	-51	-30	-14	38	133	204	236	247	239	188	119	43	-1	40	34	34	45	50	80	87	66	51	40	47	46
SRR8439149	UA_Cho_15_65	Ukraine	Chornobyl (Cooling pond)	NA	NA	42242	51.37330556	30.13830556	spring	UA_Cho	pooled	Europe	DrosEU	40	SRR8439149	SRX5246559	HiSeq X Ten	wild	male	2015	238	0.004064009	Keep	0.09	0.09	0.08	0.02	0	0.02	0.02	UPM00033231	12.02106214	75	84	24	9054	247	-90	337	186	-35	186	-45	620	87	34	32	233	108	233	120	-90	-79	-34	38	94	127	139	130	87	39	-6	-51	-30	-14	38	133	204	236	247	239	188	119	43	-1	40	34	34	45	50	80	87	66	51	40	47	46
SRR8494444	UA_Cho_16_55	Ukraine	Chornobyl (Cooling pond)	NA	NA	42618	51.37	30.13	fall	UA_Cho	pooled	Europe	DrosEU	40	SRR8494444	SRX5299023	HiSeq X Ten	wild	male	2016	249	0.003784084	Keep	0.24	0.15	0.02	0.02	0	0.02	0.03	UPM00033231	12.05122717	75	84	24	9054	247	-90	337	186	-35	186	-45	620	87	34	32	233	108	233	120	-90	-79	-34	38	94	127	139	130	87	39	-6	-51	-30	-14	38	133	204	236	247	239	188	119	43	-1	40	34	34	45	50	80	87	66	51	40	47	46
SRR5647731	UA_Che_14_47	Ukraine	Chornobyl Applegarden	NA	NA	41895	51.27263889	30.22136111	fall	UA_Che	pooled	Europe	DrosEU	40	SRR5647731	SRX2885377	NextSeq 500	wild	male	2014	256	0.004900309	Exclude	0.15	0.05	0.11	0.03	0	0.02	0.08	UPM00033231	1.410078263	75	84	25	9055	247	-89	336	187	-34	187	-44	619	86	34	31	232	110	232	122	-89	-78	-33	39	95	129	140	131	88	40	-6	-50	-29	-13	39	134	204	237	247	240	189	120	44	-1	41	35	34	45	50	80	86	66	50	39	47	46
SRR8439139	UA_Cho_15_69	Ukraine	Chornobyl Applegarden	NA	NA	42242	51.27263889	30.22136111	spring	UA_Cho	pooled	Europe	DrosEU	40	SRR8439139	SRX5246569	HiSeq X Ten	wild	male	2015	238	0.003909947	Keep	0.18	0.08	0.06	0.01	0	0.03	0.01	UPM00033231	1.410078263	75	84	25	9055	247	-89	336	187	-34	187	-44	619	86	34	31	232	110	232	122	-89	-78	-33	39	95	129	140	131	88	40	-6	-50	-29	-13	39	134	204	237	247	240	189	120	44	-1	41	35	34	45	50	80	86	66	50	39	47	46
SRR8439115	UA_Cho_15_70	Ukraine	Chornobyl Applegarden (New)	NA	NA	42192	51.279245	30.213118	spring	UA_Cho	pooled	Europe	DrosEU	40	SRR8439115	SRX5246593	HiSeq X Ten	wild	male	2015	188	0.003796475	Keep	0.15	0.08	0.03	0.02	0	0.03	0.06	UPM00033231	1.448754661	75	84	25	9055	247	-89	336	187	-34	187	-44	619	86	34	31	232	110	232	122	-89	-78	-33	39	95	129	140	131	88	40	-6	-50	-29	-13	39	134	204	237	247	240	189	120	44	-1	41	35	34	45	50	80	86	66	50	39	47	46
SRR8439128	UA_Cho_15_67	Ukraine	Chornobyl Applegarden (New)	NA	NA	42242	51.279245	30.213118	spring	UA_Cho	pooled	Europe	DrosEU	40	SRR8439128	SRX5246580	HiSeq X Ten	wild	male	2015	238	0.003693051	Keep	0.23	0.06	0.04	0.01	0	0.03	0.01	UPM00033231	1.448754661	75	84	25	9055	247	-89	336	187	-34	187	-44	619	86	34	31	232	110	232	122	-89	-78	-33	39	95	129	140	131	88	40	-6	-50	-29	-13	39	134	204	237	247	240	189	120	44	-1	41	35	34	45	50	80	86	66	50	39	47	46
SRR8439132	UA_Cho_15_24	Ukraine	Chornobyl Applegarden (New)	NA	NA	42236	51.279245	30.213118	spring	UA_Cho	pooled	Europe	DrosEU	40	SRR8439132	SRX5246576	HiSeq X Ten	wild	male	2015	232	0.00334483	Keep	0.18	0.03	0.06	0.04	0	0.02	0.02	UPM00033231	1.448754661	75	84	25	9055	247	-89	336	187	-34	187	-44	619	86	34	31	232	110	232	122	-89	-78	-33	39	95	129	140	131	88	40	-6	-50	-29	-13	39	134	204	237	247	240	189	120	44	-1	41	35	34	45	50	80	86	66	50	39	47	46
